HITId,AssignmentId,WorkerId,AssignmentStatus,AutoApprovalTime,AcceptTime,SubmitTime,ApprovalTime,RejectionTime,Deadline,RequesterFeedback,feedback,submit
2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,247J51Y7QEO3KCVFG5JTVOFXR18CFO,A2Z62ONV0T3GSM,Approved,2013-02-24T09:17:29Z,2013-02-24T09:02:52Z,2013-02-24T09:17:29Z,2013-02-24T09:20:01Z,,,,"[""it is really funny but somewhat depressed me too..""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,22A2KYEPLSPBAYQ9LPA3XAHQEEBPV3,A2FQYXUQ7F8IKK,Approved,2013-02-24T09:46:31Z,2013-02-24T09:45:06Z,2013-02-24T09:46:31Z,2013-02-24T09:50:00Z,,,,"[""Good , is this some new software?""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2IDZ6R70G5RDDRD6IO575SSTNMRP9M,A30NI1VJ5ME67A,Approved,2013-02-24T10:16:34Z,2013-02-24T10:14:16Z,2013-02-24T10:16:34Z,2013-02-24T10:20:00Z,,,,"[""""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,21JLFQ0ONNVVMFP4325G0B76NJPKTH,A1R6FYT8E0VYNV,Approved,2013-02-24T10:33:41Z,2013-02-24T10:23:00Z,2013-02-24T10:33:41Z,2013-02-24T10:35:00Z,,,,"[""i enjoyed a lot.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2HW6OQ1SNQQBVKCNKUHKLNR12H76QL,A33Z7FOVD97KVP,Approved,2013-02-24T10:53:49Z,2013-02-24T10:51:23Z,2013-02-24T10:53:49Z,2013-02-24T10:55:00Z,,,,"[""The experience was low, i can do it better.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2YVW5XH0JPPWNGPLTICSY75KLAMLFD,A1KHK2C32M9BER,Approved,2013-02-24T11:11:12Z,2013-02-24T11:05:15Z,2013-02-24T11:11:12Z,2013-02-24T11:15:00Z,,,,"[""Interesting if the story is fiction story about love between alien and human being :)""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,20QN5F3Q0JG9YCRARPPBD9F9SG8GCR,A22OU445FGNAIC,Approved,2013-02-24T11:16:55Z,2013-02-24T11:11:44Z,2013-02-24T11:16:55Z,2013-02-24T11:20:00Z,,,,"[""Haha. I think this was cool. The boy was Marty from Back To the Future. ""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2RKTLB3L0FBNEWTYY7ARNVE5RD7WKJ,A12TU2HMTI4MHN,Approved,2013-02-24T11:23:17Z,2013-02-24T11:20:56Z,2013-02-24T11:23:17Z,2013-02-24T11:25:00Z,,,,"[""its good""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2SMB2YU98JHWYZGQ0T6BS9IOB7VNB0,A3VLXMS7W75XX4,Approved,2013-02-24T11:55:30Z,2013-02-24T11:41:50Z,2013-02-24T11:55:30Z,2013-02-24T12:00:00Z,,,,"[""nice""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2MKTMOFXRDS8NQ61D6EXSFM11YJSVN,A312BVGKE6BAS5,Approved,2013-02-24T12:00:32Z,2013-02-24T11:48:31Z,2013-02-24T12:00:32Z,2013-02-24T12:05:00Z,,,,"[""I wasn't sure if I was supposed to end the questions. I'm guessing now that the answers were random. It got kind of disturbing, but I guess that's my fault. I'd like more information about what this is about, if it's not too much trouble.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2NAPDOBDDP8TOAPHS6ZXVB3Q3XGD26,AULC5HR1BBHMA,Approved,2013-02-24T12:08:05Z,2013-02-24T12:07:08Z,2013-02-24T12:08:05Z,2013-02-24T12:10:00Z,,,,"[""strange!""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2WR9O9Z6KW43RO44WKILOQ0ONBCD42,A18ZD7MH7CXE2T,Approved,2013-02-24T12:14:56Z,2013-02-24T12:10:22Z,2013-02-24T12:14:56Z,2013-02-24T12:20:00Z,,,,"[""Interesting. ""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,21QNJ92NJKM4APR68N8Y52GTPX8D89,A2320CPQ1Z77MU,Approved,2013-02-24T12:16:59Z,2013-02-24T12:13:08Z,2013-02-24T12:16:59Z,2013-02-24T12:20:01Z,,,,"[""The experience was great.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2IEZ9O9Z6KW840FMWAIRUFQ0OB5C3H,A3VAX2NYGYMTP8,Approved,2013-02-24T12:40:33Z,2013-02-24T12:37:50Z,2013-02-24T12:40:33Z,2013-02-24T12:45:00Z,,,,"[""Nice and interesting.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2IF46UXFCD492QJG26JN2KIN3HXVTF,A39EXM5OG3J5X8,Approved,2013-02-24T12:40:52Z,2013-02-24T12:33:34Z,2013-02-24T12:40:52Z,2013-02-24T12:45:01Z,,,,"[""It was fun.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,21ALKH1Q6SVUDVDV1JL6U5OBV001KR,AR8RHJPZ56OBD,Approved,2013-02-24T12:42:33Z,2013-02-24T12:40:10Z,2013-02-24T12:42:33Z,2013-02-24T12:45:01Z,,,,"[""""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,21Q0LWSBRI8MZP7L92ZJQSTLBR31DE,A3NQLS6PT2HM2Z,Approved,2013-02-24T12:44:14Z,2013-02-24T12:37:01Z,2013-02-24T12:44:14Z,2013-02-24T12:45:01Z,,,,"[""""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2Q7L6VCPWZ9VSR153OSSGSN3DHY9OS,A3RF5Y6M8IIKS,Approved,2013-02-24T12:45:12Z,2013-02-24T12:40:24Z,2013-02-24T12:45:12Z,2013-02-24T12:50:00Z,,,,"[""A girl and her friend (another girl) watch The Lion King at school during Science class.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2CB1LY58B72BREN3UD8DA6YFSJW8TN,A3HBQMBW7XGZUM,Approved,2013-02-24T12:53:17Z,2013-02-24T12:49:00Z,2013-02-24T12:53:17Z,2013-02-24T12:55:00Z,,,,"[""This experience was very different, but i have many experience from this and learn lot.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2FJ98D8J3VEB16XG2R3GCMCK8YBHXV,A2ENT5A8JF9001,Approved,2013-02-24T13:08:33Z,2013-02-24T13:07:04Z,2013-02-24T13:08:33Z,2013-02-24T13:10:00Z,,,,"[""I'm still excited I got it so quickly!  Good thing I read a lot of Stephen King.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2IQ1THV8ER92D7S7XFQSV5KFHGJP2W,A263S1B458TZEH,Approved,2013-02-24T13:14:14Z,2013-02-24T13:11:27Z,2013-02-24T13:14:14Z,2013-02-24T13:20:00Z,,,,"[""I am happy that i could find the story""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2R7L42J1LY5CGL7U1T9GOKHD1UG4P8,A1FUBGE9CHDHU6,Approved,2013-02-24T13:16:07Z,2013-02-24T13:14:16Z,2013-02-24T13:16:07Z,2013-02-24T13:20:01Z,,,,"[""Frustrating.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,22IV66RLPHIX8V0JPOBIF2NJQQJ7FS,AL1RAAKVG9FJ2,Approved,2013-02-24T13:16:40Z,2013-02-24T13:09:46Z,2013-02-24T13:16:40Z,2013-02-24T13:20:01Z,,,,"[""This was cool, I've seen something like this before where your questions help to write the story.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2M8J2D21O3W92V564IJIBKYEP99E83,A1F4D2PZ7NNWTL,Approved,2013-02-24T13:19:04Z,2013-02-24T13:16:33Z,2013-02-24T13:19:04Z,2013-02-24T13:20:01Z,,,,"[""it was fun""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2PVQ0JG5TYMRHA3YJ2691SSHXPJKGA,A2YFPO0N4GIS25,Approved,2013-02-24T13:19:31Z,2013-02-24T13:10:55Z,2013-02-24T13:19:31Z,2013-02-24T13:20:01Z,,,,"[""I felt like I didn't have enough direction. I couldn't review the instructions after accepting the HIT. The story I ended up with is a mother died of cancer and a father died of natural causes. I'm not sure how accurate this is. I also got a couple contradictory answers.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2RQW2GTP9RABXJ19GZ0Y1OF7074PUG,A1NYVI1F85FGCC,Approved,2013-02-24T13:20:45Z,2013-02-24T13:11:21Z,2013-02-24T13:20:45Z,2013-02-24T13:25:00Z,,,,"[""Different and fun.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2AXBMJTUHYW6L7UW63YSEWM16XGNIA,A1SFABJ4NX5DFY,Approved,2013-02-24T13:28:03Z,2013-02-24T13:25:13Z,2013-02-24T13:28:03Z,2013-02-24T13:30:00Z,,,,"[""It was fun!! ""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2VYVCPWZ9RNH1WTIGLYSW3DTGIJQBR,AS3BSFKKBAN8J,Approved,2013-02-24T13:29:28Z,2013-02-24T13:26:27Z,2013-02-24T13:29:28Z,2013-02-24T13:30:01Z,,,,"[""""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,2DGU3K4F0OHS056RXQBOBL92H2V10M,A3S5QPOWGMZS07,Approved,2013-02-24T13:47:45Z,2013-02-24T13:44:02Z,2013-02-24T13:47:45Z,2013-02-24T13:50:00Z,,,,"[""GOOD GAME""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,273NVP3TVOK9ZTOSGRYQNOZFYEB142,A254ISH2VOKFVD,Approved,2013-02-24T13:50:14Z,2013-02-24T13:49:04Z,2013-02-24T13:50:14Z,2013-02-24T13:55:00Z,,,,"[""Interesting.""]","[""Submit""]"

2OV1X3V0FK0GTY76TUD7YKK9L1QMF6,247BNFSVGULJ8NAFBZEGAFS3NM5L7B,A1GJY62C2B7SSU,Approved,2013-02-24T13:50:41Z,2013-02-24T13:42:40Z,2013-02-24T13:50:41Z,2013-02-24T13:55:01Z,,,,"[""Very interesting -- I enjoyed it.""]","[""Submit""]"


